250	461	0.30529900000000004
500	997	1.2718600000000002
750	1564	3.4261620000000006
1000	2154	7.048189999999999
1250	2760	10.386924000000002
1500	3380	16.586398
1750	4012	23.38595
2000	4653	33.42050699999999
2250	5304	43.12376899999998
2500	5963	54.53968500000002
2750	6629	71.194365
3000	7302	84.62578500000001
3250	7981	104.68152200000003
3500	8666	125.56416199999995
3750	9357	143.70660599999997
4000	10052	167.55064300000004
4250	10753	190.34414600000014
4500	11458	213.40169800000012
4750	12167	247.22089699999992
5000	12881	274.6776289999998
5250	13599	299.38039100000015
5500	14320	343.9377650000001
5750	15045	377.3296260000002
6000	15774	412.7771709999997
6250	16506	455.04354999999987
6500	17241	489.4999850000004
6750	17979	535.1719640000001
7000	18721	598.1644939999996
7250	19465	647.7109140000002
7500	20212	698.960075
7750	20962	740.9420600000003
8000	21715	809.6624709999996
8250	22470	865.207554999999
8500	23228	928.3331880000005
8750	23988	998.0417170000001
9000	24751	1114.7572629999995
9250	25516	1178.8425900000002
9500	26284	1269.2326840000005
9750	27053	1311.4081989999995
