250	3952	1.8059455370197648
500	11180	9.483444158916573
750	20539	28.42224611362071
1000	31622	76.10308211869948
1250	44194	145.1403757934517
1500	58094	223.3857547108891
1750	73207	332.7738465308364
2000	89442	462.11264822895043
2250	106726	609.8276966881476
2500	125000	784.9003112866758
2750	144211	1000.0598248600832
3000	164316	1238.5541788065902
3250	185278	1546.451145440029
3500	207062	1861.9747587945221
3750	229639	2155.103784320543
4000	252982	2554.2587348649213
4250	277066	2938.690458137524
4500	301869	3438.8957208880256
4750	327371	3897.9519851314544
5000	353553	4410.080263124695
5250	380398	5075.003345508543
5500	407890	5704.1212448558945
5750	436015	6318.4747346322765
